party,chunk
FDP,"die Preise einbeziehen. Die Umstrukturierung zielt darauf ab, eine integrierte Versorgung anzubieten, indem das
Silodenken zwischen den Sektoren überwunden wird und ein digitales Daten-Ökosystem (welches weit über das
elektronische Patientendossier hinaus reicht) als Grundlage dient. Die Kantone erarbeiten Konzepte zur
Gewährleistung der Versorgungssicherheit im Spitalbereich an Stelle einer umfassenden staatlichen
Angebotsplanung. Dabei sollen die Kantone im Sinne einer Regionalplanung zusammenarbeiten. Staatliche Eingriffe
in das System erfolgen nur bei drohender Unterversorgung.
› Konzentration von teuren und hochspezialisierten Angeboten, um mittels ausreichender Fallzahlen und hoher
Qualität effektivere und insgesamt kostengünstigere Lösungen zu erreichen. Leistungsaufträge sollen mit
transparenten Auswahlkriterien ausgeschrieben werden.
› Regelmässige Überprüfung der Angemessenheit medizinischer Leistungen mittels operationalisierter WZW-"
FDP,"Kriterien (Wirksamkeit, Zweckmässigkeit und Wirtschaftlichkeit) und durch HTA-Verfahren (Health Technology
Assessment). Einstellung der Erstattung resp. Preisreduktion bei nicht WZW-konformen Leistungen.
› Gesundheitsdienstleister, die die Bedingungen der Wirksamkeit, Zweckmässigkeit und Wirtschaftlichkeit nicht
erfüllen, ermitteln und sanktionieren.
› Echte Digitalisierung der Gesundheitsversorgung, die Folgendes sicherstellt:
• Daten schnell triagieren und nutzen
• Administrative Aufwände vereinfachen
• Transparenz und Effizienz im System erhöhen
• Vergleichbarkeit der Leistungserbring ermöglichen
• Integrierte Versorgung realisieren
• Ökosystem für Daten, das Forschung und Innovation vorantreibt
› Beseitigung von Fehlanreizen bei den Vertriebsmargen für Abgabe von Medikamenten: Eine Ärztin oder ein
Apotheker, die ein teureres Produkt abgeben, verdienen mehr (Fehlanreiz).
› Schaffung von Anreizen im System zur Intensivierung und Attraktivitätssteigerung der Ausbildung des"
FDP,"medizinischen und pflegerischen Personals. Gleichzeitig ist eine Verakademisierung zu verhindern, nach dem Prinzip:
Das richtige Personal am richtigen Ort.
› Festlegung eines vorläufigen Tarifs für von Swissmedic zugelassene Heilmittel und Medikamente, um den sofortigen
Zugang der Patienten zu innovativen Behandlungsmethoden zu gewährleisten. Die ausgehandelten Preise
müssen dann rückwirkend angewendet werden.
Volksschule am Anschlag: Zurück zum
Bildungsauftrag
17 Handlungsfelder für eine chancengerechte und zukunftsorientierte Bildung
unserer Kinder
Unsere Volksschule ist für den Kitt in der Gesellschaft, die Wirtschaft und den Erfolg der Schweiz von
allergrösster Bedeutung. Nur wenn es uns gelingt, Kinder und Jugendliche aus verschiedenen
gesellschaftlichen Schichten fundiert und praxisnah auszubilden, sind wir in der Lage, unser Land in
eine gute Zukunft zu führen. Blicken wir auf unsere Geschichte zurück, so ist dies unseren Vorfahren"
FDP,"eine gute Zukunft zu führen. Blicken wir auf unsere Geschichte zurück, so ist dies unseren Vorfahren
sehr gut gelungen. Die Freisinnigen haben dabei eine Vorreiterrolle gespielt: Bereits in den 1830er-
Jahren führten die Liberalen in jenen Kantonen, in denen sie damals an die Macht gelangt sind, die
unentgeltliche Volksschule für Mädchen und Knaben ein. Das liberale Erfolgsmodell setzt voraus, dass
jeder und jede die Möglichkeit zum sozialen Aufstieg hat. Das wiederum ist nur mit einer soliden
Ausbildung möglich. Zudem bedingt auch das Verständnis eines liberalen Gesellschaftsmodells eine
breite Bildung und Kenntnis unter anderem über die Aufklärung.
Dieses Erfolgsmodell ist seit jüngster Zeit gefährdet. Ein grosser Teil der Schülerinnen und Schüler –
gemäss Studien1 rund ein Viertel – kann inzwischen weder in der eigenen Landessprache korrekt
schreiben noch einen Alltagstext verstehen. Trotz des täglichen und unermüdlichen Einsatzes vieler"
FDP,"schreiben noch einen Alltagstext verstehen. Trotz des täglichen und unermüdlichen Einsatzes vieler
Lehrerinnen und Lehrer, sowie weiterer Fachpersonen, gerät die Volksschule in verschiedenen
Kantonen und Gemeinden zunehmend an den Anschlag. Es ist an der Zeit, einige Fehlentwicklungen zu
korrigieren. Die Volksschule soll nicht jeden gesellschaftlichen Trend aufnehmen, sondern wieder
vermehrt das Erlernen der Grundkompetenzen ins Zentrum stellen. Damit stellen wir die Weichen für
eine gute Zukunft unserer Kinder und Jugendlichen.
Grundkompetenzen, Grundkompetenzen, Grundkompetenzen
Die Volksschule muss sich heute mit allen möglichen gesellschaftlichen Themen befassen und hat allzu oft nicht
mehr die Zeit, ihre Hauptaufgabe zu erfüllen: Die Vermittlung der Grundkompetenzen. Mit Lesen, Schreiben und
Rechnen erhalten die Kinder ein stabiles Fundament, das sie befähigt, ein selbstbestimmtes Leben zu führen und"
FDP,"aktiv an der Demokratie teilzunehmen. Solide Grundkompetenzen sind der Schlüssel, um die
Chancengerechtigkeit sicherzustellen. Mit einer Entschlackung des Lehrplans kann die Fokussierung gefördert
und der Überforderung der Kinder und Volksschulen entgegengewirkt werden.
Die integrative Schule erreicht die Ziele nicht
In der Praxis hat sich die integrative Schule zu wenig bewährt. Sie benachteiligt unter den gegebenen
Voraussetzungen die lernschwachen Kinder und hindert den Regelunterricht. Integration ist erstrebenswert, aber
Inklusion um jeden Preis ist nicht zielführend. Vorhandene Schwächen bei Schülerinnen und Schülern müssen
künftig wieder vermehrt gezielt und individuell angegangen werden können. Ebenso soll die Volksschule Kinder
mit besonderen Begabungen entsprechend fördern. Die künstliche und sehr teure Gleichmacherei in Form einer
ausnahmslosen Integration nützt niemandem und untergräbt die Chancengerechtigkeit.
1 Vgl. Pisa-Studien: PISA (admin.ch)"
FDP,"1 Vgl. Pisa-Studien: PISA (admin.ch)
Die Partei.Die Liberalen | Generalsekretariat | Neuengasse 20 | Postfach | CH-3001 Bern
+41 (0)31 320 35 35 | www.fdp.ch | info@fdp.ch | /fdp.dieliberalen | @Die Partei_Liberalen Seite 1 / 4
Schulnoten bleiben erhalten
Die Die Partei fordert ein transparentes und einfach anwendbares Bewertungs- und Beurteilungssystem, das die
Kompetenzen der Schülerinnen und Schüler abbildet und Vergleiche ermöglicht. Es ist wichtig, die Fortschritte
der Schulkinder zu überprüfen. Ideologisch motivierte Versuche, Noten abzuschaffen, sind abzulehnen. Das
Leistungsprinzip ist wichtig für die Entwicklung der Resilienz der Kinder und somit für ihren weiteren Lebens- und
Bildungsweg. Den Kindern soll in der Schule vermittelt werden, dass sich der Wert eines Menschen nicht an
einzelnen Noten in einem Schulfach bemisst und dass Scheitern zum Leben dazugehört. Für die Die Partei ist klar: Jeder"
FDP,"Mensch hat seine Stärken, kann seinen Weg finden und sich in die Gesellschaft einbringen. Zusammen mit gut
ausgebildeten Berufsbildnern können dadurch Ausbildungs- und Lehrabbrüche vermieden werden. Dies ist im
Interesse der Lernenden und der Unternehmen.
Fremdsprachige Schülerinnen und Schüler erhalten Intensivkurse der
Unterrichtssprache, bevor sie in eine Regelklasse wechseln
Kinder, welche die Unterrichtssprache (noch) nicht beherrschen, sind oft überfordert und beanspruchen die
erhöhte Aufmerksamkeit der Lehrpersonen, so dass weniger Ressourcen für die anderen Kinder übrig bleiben und
der Regelunterricht zu kurz kommt. Bevor fremdsprachige Kinder in die Volksschule eintreten, ist der Fokus
deshalb konsequent auf das Erlernen der lokalen Sprache zu setzen. Auch Sonderklassen, die sich zunächst
ausschliesslich auf den Spracherwerb konzentrieren, sind zu prüfen. Eltern von fremdsprachigen, in der Schweiz"
FDP,"geborenen Kindern werden begleitet und ermutigt, mitzuhelfen, dass ihr Kind die Sprache vor dem Eintritt in die
Volksschule lernt. Das Ziel: Kinder, die am Regelunterricht teilnehmen, sollen die Unterrichtssprache verstehen.
Dies ist eine zwingende Voraussetzung für die Herstellung der Chancengerechtigkeit.
Die Erstsprache hat Priorität
Auf Primarschulstufe muss das Erlernen der Erstsprache Priorität haben. Die abnehmenden Sprachkompetenzen
in den lokalen Landessprachen sind ein Alarmsignal und sprechen für sich. Zweit- oder Fremdsprachen sollen erst
vermittelt werden, wenn sie nicht das Erlernen der lokalen Erstsprache beeinträchtigen. Ein Ausbau der
Sprachaufenthalte (Sekundarstufe) ist zu prüfen. Nebst dem effizienten Erwerb einer Landessprache, könnten
Jugendliche dadurch auch die kulturelle Vielfalt der Schweiz erleben. Dies dient der nationalen Kohäsion. Falls
eine Frühfremdsprache unterrichtet werden soll – so zum Beispiel in Brückenkantonen – ist eine Schweizer"
FDP,"Landessprache zu priorisieren.
Respekt im Schulzimmer
Anstand lässt sich bekanntlich nicht regulieren. Der Staat soll sich auch nicht in die elterliche Erziehung der Kinder
einmischen. Doch gewisse Zustände in Schweizer Klassenzimmern sind unhaltbar. Das Lehrpersonal verdient
Respekt – von den Kindern und von den Eltern. Für erfolgreiches Lernen braucht es Phasen der Ruhe und Struktur.
Wir fordern einen aktiven Einbezug der Eltern und gezielte Sensibilisierungskampagnen. Den
Führungskompetenzen der Lehrpersonen muss während der Ausbildung mehr Gewicht beigemessen werden.
Zudem sollen Berufseinsteigerinnen und Berufseinsteiger in der ersten Zeit gezielt begleitet werden (z.B.
Mentoring durch die pädagogischen Hochschulen oder eine erfahrenen Lehrperson).
Weniger Formulare, mehr Unterricht
Die zunehmende Bürokratie an den Volksschulen muss auf das Wesentliche reduziert werden, denn sie geht zu"
FDP,"Lasten des Kerngeschäfts: des Unterrichts. Dazu muss in einem ersten Schritt kritisch hinterfragt werden, auf
welche Berichte und Formulare verzichtet werden kann. Formulare, die erhalten bleiben, sind zu vereinheitlichen:
Es kann nicht sein, dass jede Schule eigene Formulare entwickeln muss. Ebenfalls sind die Möglichkeiten der
Digitalisierung zu nutzen und die Prozesse regelmässig auf ihre Effizienz hin zu überprüfen.
Leistung muss sich lohnen – auch bei Lehrpersonen
Viele Schulen leiden unter akutem Fachkräftemangel. Die Politik und die Schulen müssen Anreize und Strukturen
schaffen, damit Lehrpersonen vermehrt ihre Pensen erhöhen: Unterstützende Schulleitungen, heterogene
Die Partei.Die Liberalen | Generalsekretariat | Neuengasse 20 | Postfach | CH-3001 Bern
+41 (0)31 320 35 35 | www.fdp.ch | info@fdp.ch | /fdp.dieliberalen | @Die Partei_Liberalen Seite 2 / 4
Klassenzusammensetzungen zur Vermeidung hoch belasteter Klassen innerhalb einer Schule, Weiterbildung in"
FDP,"der unterrichtsfreien Zeit, um die Schulwochen nicht zusätzlich zu befrachten, sowie die Vermeidung von
Belastungsspitzen während der Schulwochen können dazu beitragen, dass Lehrerinnen und Lehrer wieder
vermehrt Vollzeit arbeiten. Steuerliche Anreize, die Vollzeitarbeit unterstützen und nicht bestrafen, sowie die
Einführung der Individualbesteuerung sind weitere Ansatzpunkte, um dem Arbeitskräftemangel zu begegnen. Die
Ansätze, Quereinsteigende zuzulassen, bringen eine willkommene, kurzfristige Linderung. Es muss aber klar sein,
dass Quereinsteiger weniger verdienen als ausgebildete Lehrpersonen, solange sie noch nicht über ein Lehrdiplom
verfügen.
Stoppt die Bildungsbürokraten und stärkt die Lehr- und Fachpersonen
Innovationen entstehen in der Praxis und nicht in den Amtsstuben. Wir müssen den Ideenwettbewerb der
einzelnen Schulen fördern und nicht durch Paragrafen verhindern. Wichtige Entscheide müssen dort gefällt"
FDP,"werden können, wo mit den Kindern gearbeitet wird. Die Lehrperson – und nicht ein Funktionär oder Berater –
weiss am besten, was ihre Schülerinnen und Schüler brauchen, um die Bildungsziele zu erreichen.
Rückmeldungen aus der Praxis müssen stärker berücksichtigt werden und als Grundlage für Entscheidungen in
der Bildungspolitik dienen. Wer mitgestalten kann, übernimmt zudem mehr Verantwortung und ist insgesamt
zufriedener. Damit kann dem Fachkräftemangel entgegengewirkt werden und die Zufriedenheit an Schulen
gesteigert werden.
Pädagogische Hochschulen
Die Ausbildung (Grundausbildung, Weiterbildungen) an der pädagogischen Hochschule bereitet das (angehende)
Lehrpersonal auf den Schulalltag vor. Die Lehrpläne sind realitätsnah und praxisorientiert auszugestalten. Bei der
Rekrutierung von Dozierenden ist darauf zu achten, dass die Mehrzahl Praxiserfahrung mitbringt und zuvor
erfolgreich unterrichtet hat.
Keine Smartphones im Unterricht auf Primarschulstufe"
FDP,"erfolgreich unterrichtet hat.
Keine Smartphones im Unterricht auf Primarschulstufe
Smartphones und andere elektronische Geräte (bspw. Smartwatches) beeinträchtigen die Aufmerksamkeit, das
Lernen und die sozialen Beziehungen. Sie sind während des Unterrichts auszuschalten und wegzulegen.
Digitalisierung: Chancen nutzen, Risiken erkennen
Neben den vielen Vorteilen der Digitalisierung weisen Forschungsergebnisse inzwischen auch auf negative
Auswirkungen auf den Wissenserwerb hin. Der Einsatz von digitalen Hilfsmitteln in der Schule muss überlegt und
gezielt erfolgen und laufend den wissenschaftlichen Erkenntnissen angepasst werden. Ebenso zentral ist es, das
Thema der Digitalisierung und die damit verbundenen Auswirkungen auf die Kinder, Jugendliche und die
Gesellschaft aktiv anzugehen (negative Auswirkungen auf die Psyche der Kinder, Cybermobbing, Defizite im
Sozialen, Suchtverhalten, Umgang mit KI, Deepfake und Quellenüberprüfung).
Vereinbarkeit von Beruf und Familie"
FDP,"Vereinbarkeit von Beruf und Familie
Zur Stärkung der Vereinbarkeit von Beruf und Familie bieten die Schulen Tagesstrukturen an. Die Angebote sind
freiwillig und kostengünstig auszugestalten.
Bildungswege aufzeigen
Kinder und Jugendliche erhalten die Möglichkeit, ihre eigenen Fähigkeiten und die ganze Breite der Berufswelt
zu entdecken. Dazu werden die Vorteile der verschiedenen Bildungswege (Berufslehre, Berufsmaturität,
Gymnasium etc.) den Kindern und Eltern frühzeitig und neutral vermittelt. Ein besonderes Augenmerk wird dabei
auf die Vermittlung von schweizerischen Besonderheiten (z.B. duales Bildungssystem) für zugezogene Eltern und
Kinder gelegt. Wichtig ist auch, dass die Schule weiterhin Kompetenzen vermittelt, die für handwerkliche Berufe
und damit für den Werkplatz Schweiz wichtig sind.
Die Partei.Die Liberalen | Generalsekretariat | Neuengasse 20 | Postfach | CH-3001 Bern
+41 (0)31 320 35 35 | www.fdp.ch | info@fdp.ch | /fdp.dieliberalen | @Die Partei_Liberalen Seite 3 / 4"
FDP,"Mehr Schweiz
Die Geschichte und das politische System der Schweiz dürfen nicht vernachlässigt werden. Nur wenn die Kinder
und Jugendlichen unser Land verstehen, erhalten sie das Rüstzeug, um mündige und aktive Teilnehmende
unserer Demokratie zu werden.
Keine Ideologie und woke Lehrmittel
Die persönliche politische Meinung bilden sich Kinder und Jugendliche selbst. Die Vermittlung des
Unterrichtsstoffes erfolgt deshalb möglichst neutral und die Medienkompetenz sowie schliesslich das eigene
Urteilsvermögen sind zu stärken. Lehrmittel, deren Inhalte eine einseitige oder eine ideologisch geprägte
Sichtweise vermitteln, haben keinen Platz in der Volksschule. Die Verbreitung von fragwürdigen Ideologien und
Weltanschauungen hat in der Volksschule keinen Platz. Es braucht Transparenz seitens der Schulen über
Organisationen, die im Unterricht auftreten oder mit denen Projekte durchgeführt werden. Schweizer Werte und"
FDP,"Tugenden, die unser Land seit Jahrhunderten prägen und erfolgreich machen, sollen gefördert werden. Dazu
gehören Verantwortungsbewusstsein, Anstand oder Selbständigkeit.
Null Toleranz gegenüber Intoleranten
Fundamentalismus hat keinen Platz an unserer Volksschule. Niemand darf sich unter Berufung auf seine kulturelle
und religiöse Identität über andere stellen oder unsere offene Gesellschaft ablehnen. Gewalttätige, homophobe,
sexistische Übergriffe auf Lehrpersonen oder Schüler religiös oder anderweitig ideologisch motivierte, sind zu
verhindern. Deshalb dürfen problematische Tendenzen keinesfalls aus Rücksichtnahme tabuisiert werden,
sondern sind frühzeitig und offen anzusprechen. Das braucht oftmals Mut. Lehrpersonen müssen darauf
sensibilisiert werden und es braucht geeignete Meldestellen, um Probleme frühzeitig zu erkennen.
Für eine konstruktive Europapolitik: Bilaterale
weiterentwickeln
Wohlstand sichern, Rechtssicherheit schaffen, politische Eigenständigkeit
wahren"
FDP,"weiterentwickeln
Wohlstand sichern, Rechtssicherheit schaffen, politische Eigenständigkeit
wahren
Die bilateralen Beziehungen zwischen der Schweiz und der Europäischen Union (EU) sind von herausragender
Bedeutung. Die EU und ihre Mitgliedsländer sind unsere wichtigsten Handelspartner, und wir teilen eine
gemeinsame Geschichte und Kultur. Gute und verlässliche Beziehungen sind darum zentral für unsere Wirtschaft
und unsere Gesellschaft. Der bilaterale Weg hat sich als für beide Parteien massgeschneiderte Option erwiesen.
Für die Die Partei ist deshalb klar, dass der bilaterale Weg weiterzuentwickeln ist. Weder ein Beitritt zur EU, zum EWR
noch der Rückbau der Beziehungen mittels eines Freihandelsvertrags sind für die Die Partei gangbare Optionen. Die
Die Partei fordert darum die Weiterentwicklung und langfristige Verfestigung des bilateralen Wegs. Hierzu schlagen
wir ein neues Verhandlungspaket (Bilaterale III) vor. Die institutionellen Fragen sind mit einer"
FDP,"wir ein neues Verhandlungspaket (Bilaterale III) vor. Die institutionellen Fragen sind mit einer
themenspezifischen, sektoriellen Optik anzugehen. Das ist ein sachgerechter Ansatz, der je nach Themenbereich
unterschiedliche Lösungen für den Interessenausgleich ermöglicht (Schutzklauseln oder Opting-Out-
Möglichkeiten).
1. Im Interesse der Schweiz
Im Herzen des europäischen Kontinents gelegen, teilt die Schweiz dessen gemeinsame Geschichte und Kultur sowie die
gleichen Werte. Die Die Partei will darum auch in Zukunft einen diskriminierungsfreien Zugang zum Binnenmarkt und eine
geregelte Kooperation mit der EU zum Wohle unserer Bevölkerung und unserer Wirtschaft. Die bilateralen Verträge mit der
EU sind ein Erfolgsmodell und wichtig für den Wohlstand und die Perspektiven der Schweiz. Sie erleichtern nicht nur den
tagtäglichen Handel mit unseren wichtigsten Handelspartnern, sondern sind auch ein bedeutender Faktor unserer"
FDP,"Standortattraktivität. Dies insbesondere mit Blick auf internationale Forschungs-, Entwicklungs- und Produktionsnetzwerke
– und der geschaffenen Arbeitsplätze. Auch für Auslandschweizerinnen und -schweizer in der EU ist die Aufrechterhaltung
der Personenfreizügigkeit von existenzieller Bedeutung.
Die Beziehungen sind für beide Parteien von grosser Wichtigkeit. Die Kennzahlen sprechen hierbei eine deutliche Sprache:
über 265 Mrd. Franken Handelsvolumen (Import & Export) jährlich – das ist fast zehn Mal mehr als das Handelsvolumen der
Schweiz mit China. Im Zentrum unserer Europapolitik steht darum der diskriminierungsfreie Zugang zum EU-Binnenmarkt.
Der EWR ist für die Die Partei keine Option. Ein Beitritt würde aufgrund der Übernahme von EU-Richtlinien wie z.B. der
Unionsbürgerrichtlinie den vitalen Interessen der Schweiz widersprechen und bedingt die Unterstellung unter eine
supranationale Überwachungsbehörde (ESA), was ebenfalls kaum vereinbar wäre mit dem Schweizer"
FDP,"supranationale Überwachungsbehörde (ESA), was ebenfalls kaum vereinbar wäre mit dem Schweizer
Souveränitätsverständnis. Ein Zurückfallen auf das Freihandelsabkommen von 1972 wäre ein wirtschaftspolitisches Eigentor.
Der bilaterale Weg hat sich demgegenüber als der massgeschneiderte Ansatz bewährt. Dieser Weg erlaubt die weitgehende
Beteiligung am Binnenmarkt, ermöglicht die Kooperation in Bereichen beidseitiger Interessen und bewahrt die
grösstmögliche politische Eigenständigkeit. Die Verträge ermöglichen es der Schweiz, den Zugang zu unseren Sozialwerken,
dem Entsendewesen, unseren föderalistischen Staatsaufbau oder bestehende Ausnahmen (bspw. Verlagerungspolitik)
schweiz-spezifisch und im gegenseitigen Einvernehmen zu regeln.
Für die Die Partei ist somit klar: Der bewährte bilaterale Weg muss weitergeführt werden.
1
2. Die Ziele der Europapolitik der Die Partei
Die Schweiz teilt mit Europa gemeinsame Werte und Ziele wie Frieden, Freiheit, Demokratie, Rechtstaatlichkeit,"
FDP,"Menschenrechte und wirtschaftliche Prosperität. Überdies geht es bei der Europapolitik auch um die Wahrung und Mehrung
des Wohlstands sowie der Gewährleistung von Rechtssicherheit bei gleichzeitigem Erhalt unserer politischen
Eigenständigkeit und Souveränität. Daraus ergeben sich folgende drei Hauptziele der Europapolitik der Die Partei:
1. Wahrung der politischen Eigenständigkeit der Schweiz (kein EU- oder EWR-Beitritt sowie Autonomie in vitalen
2. 3. Bereichen).
Kooperation mit der EU bei gegenseitigem Interesse, namentlich im Bereich der Forschung, Bildung, Sicherheit und
Migration, Strom, usw.
Nachhaltige Sicherung und Weiterentwicklung des bilateralen Wegs, um einen diskriminierungsfreien und
ungehinderten Zugang zum EU-Binnenmarkt zu sichern (inkl. gleichberechtigte Äquivalenzverfahren).
Die Zusammenarbeit mit der EU auf Basis der Bilateralen Verträge hat in den letzten 20 Jahren gut funktioniert."
FDP,"Nichtsdestotrotz beharrt die EU seit Jahren darauf, institutionelle Mechanismen zu installieren. Sie sollen sicherstellen, dass
in der Schweiz dieselben Regeln gelten, wie im restlichen Binnenmarkt und, dass bei Differenzen ein institutionalisierter
Streitschlichtungsmechanismus zum Tragen kommt. Für die Die Partei war immer klar, dass solche Mechanismen die für die
Schweiz sensiblen Bereiche (z.B. bei der Unionsbürgerrichtlinie) ausklammern müssen.
Als Folge des Fehlens von institutionellen Mechanismen verzichtet die EU seit 2012 darauf, neue Marktzugangsabkommen
mit der Schweiz zu unterzeichnen. Seit 2018 aktualisiert sie die bestehenden Marktzugangsabkommen nicht, bzw. anerkennt
die Gleichwertigkeit der Schweizer Regeln selbst dann nicht, wenn sie technisch gesehen identisch sind. Zudem verwehrt
sie der Schweiz die Assoziierung bei Kooperationsabkommen wie «Horizon Europe» oder Erasmus plus sowie die"
FDP,"Anerkennung der Börsenäquivalenz. Diese Haltung schadet nicht nur der Schweiz, sondern auch der EU selbst und der
Forschung als Ganzes.
Um diese europapolitischen Ziele zu erreichen, ist die Schweiz darauf angewiesen, dass auch die EU auf entsprechende
Verhandlungen eintritt. Das bedingt, dass die Schweiz auch die Bedürfnisse der EU anerkennt und bereit ist, auf diese
einzugehen. Es sind dies namentlich die dynamische Rechtsübernahme, ein Streitbeilegungsmechanismus, das «level playing
field» (staatliche Beihilferegelung) sowie regelmässige Kohäsionszahlungen der Schweiz. Die Die Partei bietet deshalb Hand,
Lösungen in diesen Bereichen zu suchen, um den bilateralen Weg weiterzuentwickeln. Dasselbe erwartet die Die Partei von der
EU. Ein wichtiger Aspekt für eine konstruktive Lösungssuche ist die Fortführung und Stärkung der engen Zusammenarbeit
mit den einzelnen EU-Mitgliedstaaten, insbesondere mit unseren Nachbarstaaten, zu denen wir eine noch intensivere"
FDP,"gesellschaftliche und wirtschaftliche Beziehung pflegen.
3. Erweiterung des Verhandlungspakets (Bilaterale III)
Aus Sicht der Die Partei gilt es nun, die Verhandlungsmasse zu vergrössern und ein neues Verhandlungspaket, angereichert mit
materiellen Marktzugangsabkommen, zu schnüren (Bilaterale III). Neue Abkommen wie ein Strommarktabkommen,
Finanzdienstleitungsabkommen (FDLA) und ein Gesundheitsabkommen (und eventuell noch weitere) sollen, soweit
erforderlich, mit den von der limitierten Dynamisierung der Bilateralen noch nicht erfassten Abkommen zu einem neuen
Vertragspaket verbunden werden. Der bisherige Ansatz mit einem Rahmenabkommen ist innenpolitisch nicht mehrheitsfähig
und bot in den Verhandlungen zu wenig Spielraum für kreative Lösungen. Um den bilateralen Weg langfristig zu sichern,
braucht es aber eine Lösung der offenen institutionellen Fragen. Dies kann durch die Erweiterung der Verhandlungsmasse"
FDP,"zu einem konkreten Verhandlungspaket – die Bilateralen III erreicht werden. Die ausgewählten Themenfelder werden
getrennt voneinander verhandelt. Das Prinzip des Parallelismus ermöglicht aber eine breitere Akzeptanz.
Forderungen der Die Partei:
› Definition der Schweizer Interessen und Schnürung eines umfassenden Verhandlungspakets Bilaterale III.
› Die Verhandlungen der einzelnen Dossiers sollen durch eine Bündelung so ausgestaltet werden, dass die
gegenseitigen Interessen ausgeglichen sind.
2
4. Sektorielle Optik statt institutionelles Rahmenabkommen
Der rein horizontale Lösungsansatz mit einem Rahmenabkommen hat innenpolitisch zu keiner Lösung geführt. Die Die Partei
schlägt deshalb eine sektorielle Optik vor. Die zu regelnden institutionellen Fragen sollen in den einzelnen Abkommen
differenziert verankert werden. Dies soll es erlauben, einzelne Abkommen mit institutionellen Mechanismen je nach den"
FDP,"jeweiligen sachlichen Bedürfnissen zu modernisieren. Dies ist ein bewährter Ansatz in den Verhandlungen mit der EU. Die
sektorielle Optik erlaubt sachgerechte Lösungen in den einzelnen Themenbereichen. Gleichzeitig ist das Grundmodul dieses
Ansatzes immer gleich aufgebaut: Es beinhaltet die Frage der Dynamisierung sowie der Streitbeilegung, unter der Wahrung
unserer direkten Demokratie. Dieser sektorielle Ansatz erlaubt es aber, in den einzelnen Themenbereichen – je nach
Interessenlage – Sonderregeln durch Schutzklauseln oder Opting-Out-Möglichkeiten vorzusehen. Denn die Interessenlage
bei der Personenfreizügigkeit ist anders als etwa im Bereich eines Gesundheitsabkommens. Dies gibt dem Bundesrat überdies
mehr Flexibilität bei den Verhandlungen mit der EU. Beim sektoriellen Ansatz ist eine Guillotine-Klausel obsolet.
In der momentanen Diskussion wird gerne vergessen, dass der Handel sowie die bilateralen Verträge mit der EU in der Regel"
FDP,"gut funktionieren. Die sektorielle Optik greift dies auf, da durch kleine Verhandlungserfolge ein positives Klima geschaffen
wird, welches auch die Thematisierung der strittigen Punkte ermöglicht. Es kann und soll nicht sein, dass die ausbleibende
Einigung in spezifischen Punkten eine ansonsten blühende Beziehung blockiert. Die sektorielle Optik verbessert die
Beziehung zu unserem wichtigsten Partner und führt zu Wohlstandgewinnen für beide Seiten.
Forderungen der Die Partei:
› Sektorielle Optik mit einheitlichem Grundmodul.
› Kein horizontales Rahmenabkommen.
5. Rechtsicherheit, Mitwirkungsrecht und Schutzklauseln
Heute übernimmt die Schweiz EU-Recht in den meisten Marktzugangsabkommen autonom. Die autonome Rechtsübernahme
hat jedoch gravierende Nachteile: Sie erfordert einerseits eine post facto Anerkennung der EU. Die Gewährung dieser
Anerkennung kreiert eine Abhängigkeit. Diese Abhängigkeit wurde der Schweiz vor Augen geführt, als es beim Kapitel 4 des"
FDP,"Abkommens über die technischen Handelshemmnisse zu einer Nicht-Aktualisierung kam (Ablehnung der Aktualisierung der
Konformitätsbewertungen bei den Medizinprodukten). Andererseits besteht aktuell keine Möglichkeit bei der Entwicklung
des Rechts mitzuwirken und Schweizer Interessen frühzeitig einzubringen.
Mit der dynamischen Rechtsübernahme kennt die Schweiz bereits eine Alternative zum autonomen Modell. Diese wird bei
Schengen/Dublin oder dem Luftverkehrsabkommen bereits weitgehendst angewendet. Wobei dynamisch nicht automatisch
bedeutet. Für die dynamische Aktualisierung ist der Schweizer Gesetzgeber und – mittels des fakultativen Referendums –
die Bevölkerung zuständig. Damit bleiben die Interessen und die politische Eigenständigkeit unseres Landes jederzeit
gewahrt.
Mit einem institutionellen Mechanismus sollen neue Binnenmarktregeln dynamisch übernommen werden. Im Gegenzug für"
FDP,"die erhöhte Rechtssicherheit der EU kann die Schweiz ein Mitwirkungsrecht (decision shaping) verlangen. Die Schweiz erhält
im Vergleich zu heute mehr Gestaltungsmöglichkeiten, denn sie ist bei der Entstehung neuer Richtlinien beteiligt. Dass dies
für die Schweiz zu passenderen Lösungen führen kann, zeigt das Beispiel der EU-Waffenschutzrichtlinien.
Es gibt Bereiche, die für die Schweiz von vitalem Interesse sind. Es sind dies namentlich Bereiche, welche die Souveränität
betreffen. Hierzu zählen etwa Teile der Personenfreizügigkeit und des Landverkehrsabkommens. In diesen Bereichen sollen
Opting-Out-Möglichkeiten geschaffen werden. Denkbar sind auch Schutzklauseln. Es gilt die Bereiche zu definieren, die für
die Schweiz von besonderer Bedeutung bzw. vitalem Interesse sind. In diesen Bereichen muss bei der Dynamisierung bedacht
werden, dass die Schweiz kein EU-Mitgliedstaat ist, und ein Entgegenkommen von Seiten der EU mit individuellen Lösungen"
